店舗名,電話番号,都道府県,市区町村,番地,建物名,URL,SSL
全席完全個室 地鶏・鮮魚 金沢屋 金沢片町本店,,石川県,金沢市,片町1-7-23 金劇パシオン2F,,https://ra1b600.gorp.jp/,True
【個室完備】名古屋熱狂酒房 ごくらく邸 名駅３丁目店,,愛知県,名古屋市中村区,名駅3-18-9 MIZUNOビル2F,,https://nccc900.gorp.jp/,True
八王子乾杯酒場,,東京都,八王子市,東町1-11 久保田ビル4F,,https://gh21209.gorp.jp/,True
横丁カンパイ酒Bar 吉祥寺ハーモニカ横丁店,,東京都,武蔵野市,吉祥寺本町1-1-2 ハーモニカ横丁,,https://gjuw600.gorp.jp/,True
個室完備炉端焼きとマグロと土鍋御飯 紅炎 東京八重洲店,,東京都,中央区,日本橋3-2-16 マスヤビルB1,,https://gj96200.gorp.jp/,True
CAFE ＆ DINING POKKE,,東京都,港区,麻布台3-1-6 BLUE BLDG.AZABUDAI2F,,https://gjv6600.gorp.jp/,True
ビアポンバーGROVE上野鈴蘭店,,東京都,台東区,上野4-8-6 プラザUビル7F,,https://ggar937.gorp.jp/,True
個室居酒屋 錦治郎 錦糸町店,,東京都,墨田区,江東橋2-6-7 マーキュリー錦糸町ビル2 7F,,https://gjuk200.gorp.jp/,True
あぐーしゃぶしゃぶ 炊き肉 やま田 恩納村店,,沖縄県,国頭郡恩納村,字冨着623 オーシャンフロント1F,,https://fbyc302.gorp.jp/,True
【全席個室】市場直送 炭火とさかな 浜の家 有楽町店,,東京都,千代田区,有楽町1-2-9 TS日比谷ビル4F,,https://gjnc703.gorp.jp/,True
焼き鳥食べ放題居酒屋 sita（シータ） 麴町,,東京都,千代田区,平河町1-3-8 1F,,https://gjuy000.gorp.jp/,True
【6／11OPEN】全席個室 めしや 梵～soyogi～名古屋本店,,愛知県,名古屋市中村区,名駅4-13-13 名駅FGビル5F,,https://nccj800.gorp.jp/,True
個室完備 肉の酒場 囲 大宮店,,埼玉県,さいたま市大宮区,宮町1-54 小林ビル2F,,https://ghwj400.gorp.jp/,True
河南料理 掌櫃（しょうき）池袋,,東京都,豊島区,西池袋1-35-7,,https://gjuf800.gorp.jp/,True
【扉付き完全個室】 酒と和食 嗜好場 川崎店,,神奈川県,川崎市川崎区,砂子2-7-11 3F,,https://gj91402.gorp.jp/,True
日本橋 天ぷら 天丸,,東京都,中央区,日本橋2-2-16 共立日本橋ビルB1,,https://e801505.gorp.jp/,True
シュラスコ＆ビアレストラン ALEGRIA 小倉,,福岡県,北九州市小倉北区,魚町2-3-19 ロンドビル1F,,https://fc5c700.gorp.jp/,True
